"datetime_id","datetime","date","time","year","month","day","dow"
1,"2005-08-17 06:39:30","2005-08-17","06:39:30",2005,8,17,"4"
2,"2005-08-17 22:45:26","2005-08-17","22:45:26",2005,8,17,"4"
3,"2005-08-18 07:57:38","2005-08-18","07:57:38",2005,8,18,"5"
4,"2005-08-18 14:58:51","2005-08-18","14:58:51",2005,8,18,"5"
5,"2005-08-20 07:04:07","2005-08-20","07:04:07",2005,8,20,"7"
6,"2005-08-20 23:35:13","2005-08-20","23:35:13",2005,8,20,"7"
7,"2005-08-21 04:51:51","2005-08-21","04:51:51",2005,8,21,"1"
8,"2005-08-21 09:33:44","2005-08-21","09:33:44",2005,8,21,"1"
9,"2005-08-21 11:51:10","2005-08-21","11:51:10",2005,8,21,"1"
10,"2005-05-28 14:05:57","2005-05-28","14:05:57",2005,5,28,"7"
11,"2005-05-30 06:54:51","2005-05-30","06:54:51",2005,5,30,"2"
12,"2005-06-16 06:41:35","2005-06-16","06:41:35",2005,6,16,"5"
13,"2005-06-17 05:28:28","2005-06-17","05:28:28",2005,6,17,"6"
14,"2005-06-18 03:16:54","2005-06-18","03:16:54",2005,6,18,"7"
15,"2005-06-18 09:24:22","2005-06-18","09:24:22",2005,6,18,"7"
16,"2005-06-20 09:50:16","2005-06-20","09:50:16",2005,6,20,"2"
17,"2005-07-07 14:43:51","2005-07-07","14:43:51",2005,7,7,"5"
18,"2005-07-08 04:18:36","2005-07-08","04:18:36",2005,7,8,"6"
19,"2005-07-08 08:38:57","2005-07-08","08:38:57",2005,7,8,"6"
20,"2005-07-08 16:27:24","2005-07-08","16:27:24",2005,7,8,"6"
21,"2005-07-09 06:14:30","2005-07-09","06:14:30",2005,7,9,"7"
22,"2005-07-11 13:24:27","2005-07-11","13:24:27",2005,7,11,"2"
23,"2005-07-12 03:44:43","2005-07-12","03:44:43",2005,7,12,"3"
24,"2005-07-26 23:00:01","2005-07-26","23:00:01",2005,7,26,"3"
25,"2005-07-27 19:29:24","2005-07-27","19:29:24",2005,7,27,"4"
26,"2005-07-28 15:14:07","2005-07-28","15:14:07",2005,7,28,"5"
27,"2005-07-29 07:41:54","2005-07-29","07:41:54",2005,7,29,"6"
28,"2005-07-31 09:34:03","2005-07-31","09:34:03",2005,7,31,"1"
29,"2005-07-31 22:40:31","2005-07-31","22:40:31",2005,7,31,"1"
30,"2005-08-17 21:09:23","2005-08-17","21:09:23",2005,8,17,"4"
31,"2005-08-17 23:01:00","2005-08-17","23:01:00",2005,8,17,"4"
32,"2005-08-18 15:08:29","2005-08-18","15:08:29",2005,8,18,"5"
33,"2005-08-18 19:34:40","2005-08-18","19:34:40",2005,8,18,"5"
34,"2005-08-19 14:16:18","2005-08-19","14:16:18",2005,8,19,"6"
35,"2005-08-19 21:02:59","2005-08-19","21:02:59",2005,8,19,"6"
36,"2005-08-20 12:15:41","2005-08-20","12:15:41",2005,8,20,"7"
37,"2005-08-22 13:11:25","2005-08-22","13:11:25",2005,8,22,"2"
38,"2005-08-22 19:17:08","2005-08-22","19:17:08",2005,8,22,"2"
39,"2005-08-23 03:44:51","2005-08-23","03:44:51",2005,8,23,"3"
40,"2005-08-23 22:50:12","2005-08-23","22:50:12",2005,8,23,"3"
41,"2005-05-26 08:44:08","2005-05-26","08:44:08",2005,5,26,"5"
42,"2005-05-30 21:22:26","2005-05-30","21:22:26",2005,5,30,"2"
43,"2005-06-15 11:02:45","2005-06-15","11:02:45",2005,6,15,"4"
44,"2005-07-06 02:01:08","2005-07-06","02:01:08",2005,7,6,"4"
45,"2005-07-06 18:03:16","2005-07-06","18:03:16",2005,7,6,"4"
46,"2005-07-07 00:28:55","2005-07-07","00:28:55",2005,7,7,"5"
47,"2005-07-07 17:20:39","2005-07-07","17:20:39",2005,7,7,"5"
48,"2005-07-09 10:13:45","2005-07-09","10:13:45",2005,7,9,"7"
49,"2005-07-10 02:27:42","2005-07-10","02:27:42",2005,7,10,"1"
50,"2005-07-11 04:03:54","2005-07-11","04:03:54",2005,7,11,"2"
51,"2005-07-27 17:57:15","2005-07-27","17:57:15",2005,7,27,"4"
52,"2005-07-30 10:38:59","2005-07-30","10:38:59",2005,7,30,"7"
53,"2005-07-31 13:06:54","2005-07-31","13:06:54",2005,7,31,"1"
54,"2005-08-01 04:37:19","2005-08-01","04:37:19",2005,8,1,"2"
55,"2005-08-01 14:30:35","2005-08-01","14:30:35",2005,8,1,"2"
56,"2005-08-01 18:55:38","2005-08-01","18:55:38",2005,8,1,"2"
57,"2005-08-17 22:08:04","2005-08-17","22:08:04",2005,8,17,"4"
58,"2005-08-18 08:48:36","2005-08-18","08:48:36",2005,8,18,"5"
59,"2005-08-18 13:22:25","2005-08-18","13:22:25",2005,8,18,"5"
60,"2005-08-19 09:24:49","2005-08-19","09:24:49",2005,8,19,"6"
61,"2005-08-21 17:56:06","2005-08-21","17:56:06",2005,8,21,"1"
62,"2005-06-15 07:30:22","2005-06-15","07:30:22",2005,6,15,"4"
63,"2005-06-16 02:46:27","2005-06-16","02:46:27",2005,6,16,"5"
64,"2005-06-16 06:14:03","2005-06-16","06:14:03",2005,6,16,"5"
65,"2005-06-20 11:51:59","2005-06-20","11:51:59",2005,6,20,"2"
66,"2005-06-21 08:04:51","2005-06-21","08:04:51",2005,6,21,"3"
