"payment_id","customer_id","film_id","store_id","datetime_id","amount"
1,1,663,1,5336,2.99
2,1,875,1,5337,0.99
3,1,611,1,5338,5.99
4,1,228,2,5339,0.99
5,1,308,2,5340,9.99
6,1,159,1,5341,4.99
7,1,44,1,5342,4.99
8,1,766,2,5343,0.99
9,1,997,1,5344,3.99
10,1,316,2,5345,5.99
11,1,764,1,5346,5.99
12,1,814,1,5347,4.99
13,1,174,1,5348,4.99
14,1,294,1,5349,7.99
15,1,539,2,5350,2.99
16,1,243,1,5351,4.99
17,1,929,2,5352,4.99
18,1,341,1,5353,0.99
19,1,982,2,5354,0.99
20,1,22,2,5355,2.99
21,1,480,2,5356,2.99
22,1,3,2,5357,4.99
23,1,709,2,5358,3.99
24,1,315,1,5359,0.99
25,1,579,2,5360,4.99
26,1,204,1,5361,0.99
27,1,663,2,5362,0.99
28,1,490,2,5363,2.99
29,1,924,1,5364,0.99
30,1,317,1,5365,1.99
31,1,317,2,5366,2.99
32,1,70,1,5367,5.99
33,2,243,1,5368,4.99
34,2,78,1,5369,2.99
35,2,895,1,5370,2.99
36,2,606,1,5371,6.99
37,2,162,2,5372,4.99
38,2,109,1,5373,5.99
39,2,446,2,5374,5.99
40,2,421,2,5375,5.99
41,2,136,1,5376,2.99
42,2,879,2,5377,5.99
43,2,518,1,5378,4.99
44,2,878,2,5379,10.99
45,2,303,2,5380,0.99
46,2,891,2,5381,6.99
47,2,678,2,5382,6.99
48,2,690,1,5383,2.99
49,2,27,1,5384,0.99
50,2,748,1,5385,0.99
51,2,142,1,5386,5.99
52,2,254,1,5387,6.99
53,2,447,2,5388,2.99
54,2,175,1,5389,2.99
55,2,331,1,5390,2.99
56,2,694,1,5391,4.99
57,2,999,2,5392,5.99
58,2,471,2,5393,4.99
59,2,637,2,5394,4.99
60,3,732,1,5395,1.99
61,3,759,1,5396,2.99
62,3,854,1,5397,8.99
63,3,23,1,5398,6.99
64,3,202,2,5399,6.99
65,3,855,1,5400,2.99
66,3,371,1,5401,4.99
67,3,447,1,5402,4.99
68,3,563,1,5403,5.99
69,3,126,2,5404,10.99
70,3,464,2,5405,7.99
71,3,77,2,5406,6.99
72,3,86,1,5407,4.99
73,3,263,2,5408,4.99
74,3,717,1,5409,2.99
75,3,940,1,5410,1.99
76,3,366,2,5411,3.99
77,3,621,1,5412,2.99
78,3,995,2,5413,4.99
79,3,725,2,5414,5.99
80,3,433,2,5415,4.99
81,3,711,1,5416,8.99
82,3,555,2,5417,2.99
83,3,312,2,5418,8.99
84,3,367,2,5419,0.99
85,3,540,1,5420,2.99
86,4,239,1,5421,4.99
87,4,63,1,5422,0.99
88,4,42,2,5423,2.99
89,4,19,2,5424,0.99
90,4,547,2,5425,0.99
91,4,448,1,5426,5.99
92,4,958,1,5427,2.99
93,4,784,2,5428,2.99
94,4,35,1,5429,3.99
95,4,895,1,5430,5.99
96,4,653,1,5431,5.99
97,4,11,2,5432,0.99
98,4,939,1,5433,2.99
99,4,676,2,5434,4.99
100,4,431,1,5435,2.99
101,4,543,2,5436,8.99
102,4,26,2,5437,1.99
103,4,740,1,5438,2.99
104,4,837,1,5439,6.99
105,4,219,2,5440,4.99
106,4,559,1,5441,2.99
107,4,728,2,5442,1.99
108,5,896,1,5443,0.99
109,5,68,1,5444,6.99
110,5,870,1,5445,1.99
111,5,722,1,5446,3.99
112,5,539,2,5447,2.99
113,5,941,2,5448,4.99
114,5,245,2,5449,2.99
115,5,263,2,5450,4.99
116,5,131,2,5451,4.99
117,5,975,2,5452,2.99
118,5,408,1,5453,4.99
119,5,213,2,5454,5.99
120,5,91,2,5455,1.99
121,5,511,2,5456,0.99
122,5,465,1,5457,8.99
123,5,951,1,5458,3.99
124,5,314,2,5459,4.99
125,5,733,2,5460,0.99
126,5,18,2,5461,0.99
127,5,22,2,5462,3.99
128,5,6,1,5463,2.99
129,5,155,1,5464,1.99
130,5,333,1,5465,4.99
131,5,962,1,5466,3.99
132,5,568,2,5467,4.99
133,5,663,1,5468,0.99
134,5,810,2,5469,4.99
135,5,956,1,5470,4.99
136,5,286,2,5471,3.99
137,5,763,1,5472,9.99
138,5,349,1,5473,2.99
139,5,266,1,5474,1.99
140,5,743,2,5475,0.99
141,5,470,2,5476,6.99
142,5,575,1,5477,6.99
143,5,37,2,5478,2.99
144,5,12,2,5479,0.99
145,5,345,2,5480,0.99
146,6,858,2,5481,4.99
147,6,83,1,5482,2.99
148,6,285,2,5483,0.99
149,6,730,1,5484,3.99
150,6,514,2,5485,2.99
151,6,452,1,5486,0.99
152,6,395,1,5487,0.99
153,6,280,2,5488,0.99
154,6,807,2,5489,2.99
155,6,367,1,5490,0.99
156,6,592,2,5491,5.99
157,6,590,1,5492,7.99
158,6,833,2,5493,0.99
159,6,689,2,5494,2.99
160,6,418,2,5495,2.99
161,6,160,1,5496,0.99
162,6,807,1,5497,2.99
163,6,790,1,5498,2.99
164,6,862,1,5499,3.99
165,6,365,1,5500,6.99
166,6,19,1,5501,0.99
167,6,849,1,5502,0.99
168,6,626,2,5503,2.99
169,6,841,2,5504,6.99
170,6,775,1,5505,7.99
171,6,293,1,5506,4.99
172,6,285,1,5507,5.99
173,6,562,2,5508,0.99
174,7,730,2,5509,5.99
175,7,931,2,5510,0.99
176,7,615,2,5511,2.99
177,7,683,1,5512,4.99
178,7,545,1,5513,5.99
179,7,516,2,5514,0.99
180,7,880,1,5515,2.99
181,7,631,1,5516,0.99
182,7,103,1,5517,4.99
183,7,424,1,5518,0.99
184,7,617,2,5519,5.99
185,7,664,2,5520,2.99
186,7,857,2,5521,5.99
187,7,532,1,5522,4.99
188,7,854,1,5523,8.99
189,7,856,1,5524,7.99
190,7,687,1,5525,1.99
191,7,305,1,5526,2.99
192,7,796,2,5527,3.99
193,7,682,2,5528,5.99
194,7,763,2,5529,7.99
195,7,346,2,5530,6.99
196,7,162,1,5531,5.99
197,7,330,1,5532,4.99
198,7,953,2,5533,4.99
199,7,491,2,5534,3.99
200,7,465,2,5535,7.99
201,7,396,1,5536,8.99
202,7,15,1,5537,2.99
203,7,880,2,5538,2.99
204,7,628,1,5539,2.99
205,7,750,1,5540,0.99
206,7,156,1,5541,5.99
207,8,628,2,5542,6.99
208,8,42,2,5543,2.99
209,8,415,1,5544,5.99
210,8,521,2,5545,4.99
211,8,473,1,5546,5.99
212,8,882,1,5547,0.99
213,8,432,2,5548,2.99
214,8,692,2,5549,3.99
215,8,329,1,5550,3.99
216,8,554,1,5551,2.99
217,8,554,2,5552,2.99
218,8,421,1,5553,4.99
219,8,401,1,5554,0.99
220,8,722,1,5555,1.99
221,8,609,2,5556,2.99
222,8,1,2,5557,0.99
223,8,474,2,5558,2.99
224,8,216,1,5559,9.99
225,8,37,2,5560,2.99
226,8,847,1,5561,2.99
227,8,491,1,5562,0.99
228,8,930,1,5563,7.99
229,8,645,1,5564,2.99
230,8,985,1,5565,4.99
231,9,604,2,5566,4.99
232,9,196,2,5567,0.99
233,9,493,2,5568,4.99
234,9,856,2,5569,7.99
235,9,826,2,5570,4.99
236,9,305,1,5571,2.99
237,9,931,2,5572,0.99
238,9,545,1,5573,1.99
239,9,928,1,5574,2.99
240,9,763,2,5575,4.99
241,9,774,1,5576,5.99
242,9,830,2,5577,0.99
243,9,445,1,5578,2.99
244,9,897,1,5579,4.99
245,9,531,1,5580,0.99
246,9,88,1,5581,4.99
247,9,691,2,5582,5.99
248,9,82,1,5583,0.99
249,9,609,1,5584,2.99
250,9,166,1,5585,2.99
251,9,459,2,5586,4.99
252,9,502,2,5587,7.99
253,9,219,1,5480,4.99
254,10,816,2,5588,4.99
255,10,227,1,5589,4.99
256,10,407,1,5590,4.99
257,10,840,2,5591,3.99
258,10,387,1,5592,0.99
259,10,344,1,5593,0.99
260,10,373,2,5594,3.99
261,10,10,2,5595,4.99
262,10,164,1,5596,1.99
263,10,678,1,5597,7.99
264,10,645,2,5598,2.99
265,10,650,1,5599,0.99
266,10,850,1,5600,2.99
267,10,16,1,5601,2.99
268,10,563,2,5602,6.99
269,10,838,2,5603,4.99
270,10,486,1,5604,4.99
271,10,969,2,5605,8.99
272,10,629,2,5606,2.99
273,10,91,1,5607,0.99
274,10,613,2,5608,2.99
275,10,383,2,5609,2.99
276,10,972,2,5610,4.99
277,10,942,2,5611,2.99
278,10,13,1,5612,5.99
279,11,86,1,5613,6.99
280,11,880,1,5614,6.99
281,11,131,1,5615,7.99
282,11,812,1,5616,0.99
283,11,166,2,5617,2.99
284,11,599,1,5618,4.99
285,11,174,2,5619,5.99
286,11,740,2,5620,6.99
287,11,302,1,5621,4.99
288,11,508,1,5622,4.99
289,11,626,2,5623,2.99
290,11,206,2,5624,1.99
291,11,189,1,5625,0.99
292,11,662,1,5626,9.99
293,11,370,2,5627,6.99
294,11,823,1,5628,4.99
295,11,139,2,5629,6.99
296,11,976,2,5630,0.99
297,11,129,2,5631,5.99
298,11,143,2,5632,0.99
299,11,304,1,5633,4.99
300,11,677,1,5634,0.99
301,11,438,2,5635,2.99
302,11,105,1,5480,0.99
303,12,301,1,5636,4.99
304,12,1000,1,5637,4.99
305,12,772,2,5638,5.99
306,12,818,2,5639,5.99
307,12,922,2,5640,5.99
308,12,978,2,5641,4.99
309,12,249,2,5642,2.99
310,12,924,1,5643,0.99
311,12,737,1,5644,3.99
312,12,949,1,5645,0.99
313,12,303,1,5646,0.99
314,12,630,2,5647,0.99
315,12,186,2,5648,3.99
316,12,735,1,5649,2.99
317,12,799,2,5650,0.99
318,12,311,2,5651,0.99
319,12,697,2,5652,0.99
320,12,69,2,5653,4.99
321,12,737,2,5654,5.99
322,12,103,1,5655,5.99
323,12,719,2,5656,5.99
324,12,662,2,5657,10.99
325,12,97,2,5658,0.99
326,12,897,1,5659,4.99
327,12,40,2,5660,0.99
328,12,672,2,5661,2.99
329,12,725,2,5662,4.99
330,12,357,1,5663,0.99
331,13,218,1,5664,2.99
332,13,532,1,5665,4.99
333,13,823,1,5666,2.99
334,13,135,1,5667,8.99
335,13,67,2,5668,2.99
336,13,661,1,5669,8.99
337,13,914,1,5670,2.99
338,13,681,1,5671,0.99
339,13,37,1,5672,2.99
340,13,847,1,5673,2.99
341,13,286,1,5674,2.99
342,13,771,2,5675,11.99
343,13,865,2,5676,9.99
344,13,830,2,5677,0.99
345,13,79,1,5678,0.99
346,13,449,1,5679,7.99
347,13,350,1,5680,4.99
348,13,47,1,5681,4.99
349,13,247,2,5682,0.99
350,13,482,2,5683,5.99
351,13,216,2,5684,7.99
352,13,92,2,5685,4.99
353,13,339,2,5686,0.99
354,13,358,1,5687,0.99
355,13,583,1,5688,9.99
356,13,537,2,5689,7.99
357,13,112,1,5690,4.99
358,14,646,1,5691,0.99
359,14,941,1,5692,9.99
360,14,395,1,5693,5.99
361,14,230,1,5694,2.99
362,14,822,2,5695,0.99
363,14,893,2,5696,4.99
364,14,241,1,5697,2.99
365,14,101,1,5698,0.99
366,14,457,1,5699,0.99
367,14,591,2,5700,7.99
368,14,124,1,5701,4.99
369,14,739,1,5702,7.99
370,14,329,1,5703,6.99
371,14,942,1,5704,0.99
372,14,738,1,5705,3.99
373,14,719,2,5706,4.99
374,14,24,2,5707,4.99
375,14,397,1,5708,2.99
376,14,450,1,5709,2.99
377,14,6,2,5710,6.99
378,14,904,1,5711,4.99
379,14,199,2,5712,3.99
380,14,433,1,5713,2.99
381,14,253,1,5714,4.99
382,14,674,2,5715,6.99
383,14,970,1,5716,0.99
384,14,168,1,5717,0.99
385,14,385,1,5480,4.99
386,15,59,1,5718,2.99
387,15,435,1,5719,5.99
388,15,875,2,5720,0.99
389,15,527,1,5721,7.99
390,15,385,1,5722,5.99
391,15,116,1,5723,2.99
